L1,L2 (Defined),L2(Suggested),L3,L2(New),L3(Tagged),L4,Amazon Merged  Entry
Beauty & Personal Care,Makeup,Makeup,Makeup Remover,Skincare,Face Care,Cleansing Foam,"['(Beauty, Make-up, Make-up Remover, Makeup Cleansing Foams)', '(Fashion, Beauty, Make-up, Make-up Remover, Makeup Cleansing Foams)']"
Beauty & Personal Care,Makeup,Makeup,Makeup Remover,Skincare,Face Care,Cleansing Gel,"['(Beauty, Make-up, Make-up Remover, Makeup Cleansing Gels)']['(Fashion, Beauty, Make-up, Make-up Remover, Makeup Cleansing Gels)']"
Beauty & Personal Care,Makeup,Makeup,Makeup Remover,Skincare,Face Care,Cleansing Milk,"['(Beauty, Make-up, Make-up Remover, Makeup Cleansing Milk)', '(Fashion, Beauty, Make-up, Make-up Remover, Makeup Cleansing Milk)']"
Beauty & Personal Care,Makeup,Makeup,Makeup Remover,Skincare,Face Care,Cleansing Oil,"['(Beauty, Make-up, Make-up Remover, Makeup Cleansing Oils)']"
Beauty & Personal Care,Makeup,Makeup,Makeup Remover,Skincare,Face Care,Cleansing Water,"['(Beauty, Make-up, Make-up Remover, Makeup Cleansing Water)', '(Fashion, Beauty, Make-up, Make-up Remover, Makeup Cleansing Water)']"
Beauty & Personal Care,Skincare,Skincare,Face,Skincare,Face Care,Cream,"['(Beauty, Skin Care, Face, Creams & Moisturisers, CC Creams)', '(Beauty, Skin Care, Face, Creams & Moisturisers, Night Creams)', '(Beauty, Skin Care, Face, Creams & Moisturisers, Oils)', '(Beauty, Skin Care, Face, Creams & Moisturisers, Serums)']['(Beauty, Skin Care, Face, Creams & Moisturisers, DD Creams)', '(Beauty, Skin Care, Face, Creams & Moisturisers, BB Creams)', '(Beauty, Skin Care, Face, Creams & Moisturisers, Tinted Moisturisers)', '(Fashion, Beauty, Skin Care, Face, Creams & Moisturisers, BB Creams)', '(Fashion, Beauty, Skin Care, Face, Creams & Moisturisers, Tinted Moisturisers)', '(Fashion, Beauty, Skin Care, Face, Creams & Moisturisers, Oils)', '(Fashion, Beauty, Skin Care, Face, Creams & Moisturisers, Night Creams)', '(Fashion, Beauty, Skin Care, Face, Creams & Moisturisers, Face Creams)', '(Fashion, Beauty, Skin Care, Face, Creams & Moisturisers, CC Creams)', '(Fashion, Beauty, Skin Care, Face, Creams & Moisturisers, DD Creams)']['(Beauty, Skin Care, Face, Creams & Moisturisers, Face Creams)']"
Beauty & Personal Care,Skincare,Skincare,Face,Skincare,Face Care,Face Mask,"['(Beauty, Skin Care, Face, Face Masks)', '(Fashion, Beauty, Skin Care, Face, Face Masks)']"
Beauty & Personal Care,Skincare,Skincare,Face,Skincare,Face Care,Face Pack,"['(Beauty, Skin Care, Face, Face Pack)', '(Fashion, Beauty, Skin Care, Face, Face Pack)']"
Beauty & Personal Care,Skincare,Skincare,Cleansing,Skincare,Face Care,Face Wash,"['(Fashion, Beauty, Skin Care, Face, Cleansing Creams & Milks, Face Wash)']"
Beauty & Personal Care,Skincare,Skincare,Face,Skincare,Face Care,Facial Kit,"['(Beauty, Skin Care, Face, Facial Kit)', '(Fashion, Beauty, Skin Care, Face, Facial Kit)']"
